date,hight,lowt,meant,sidu,fallrain,Target
2012-1-1,19.5,12.1,15.8,63,0,306595.586
2012-1-2,20,13,16,59,0,433730.0114
2012-1-3,18.7,14.2,15.8,72,0,546110.0255
2012-1-4,14.9,9.3,10.9,62,0,581355.2112
2012-1-5,9.2,5.1,6.9,78,2.9,591234.7981
2012-1-6,11,6.3,8.2,92,3.3,585933.9079
2012-1-7,12.4,9.4,10.5,80,0,569117.5756
2012-1-8,16.6,9.9,12.2,75,0,516896.723
2012-1-9,17.3,9.4,12.4,75,0,548819.1317
2012-1-10,17.1,9.4,13.2,73,0,551386.9834
2012-1-11,16.7,11.6,14.5,68,0.4,541350.395
2012-1-12,14.8,11.8,13.1,72,1.8,531319.1893
2012-1-13,16.1,11.4,13.3,88,1,509604.5789
2012-1-14,19.2,13.9,15.8,90,2.2,466885.0935
2012-1-15,16.5,13.2,15,99,14.4,417195.1123
2012-1-16,15.3,12,13.4,90,9.5,406676.6261
2012-1-17,17.7,10.8,13.5,74,0,379858.6116
2012-1-18,24.1,13,16.9,74,0,338332.4332
2012-1-19,23.6,16.5,19.2,85,0,299096.7588
2012-1-20,18.5,15.5,16.4,86,0,256524.5339
2012-1-21,16.1,13.8,14.7,90,0,211083.6236
2012-1-22,13.6,7.4,9.7,93,2.5,184195.1711
2012-1-23,8.9,5.2,7,87,7.5,170880.0583
2012-1-24,8,6,6.7,90,1.9,177393.8077
2012-1-25,7.3,4.5,6.1,77,1.3,194357.115
2012-1-26,7.7,4.5,6.1,86,0.8,217649.2653
2012-1-27,11.4,7,8.7,93,0,224845.3996
2012-1-28,20.2,10.6,13.8,90,0.1,245128.5361
2012-1-29,15.4,10.9,12.8,82,0,265558.5017
2012-1-30,17.9,11.8,13.8,67,0,326358.9406
2012-1-31,17.5,11.1,13.7,57,0,373947.4573
2012-2-1,18,6.5,12,67,0,420499.6089
2012-2-2,15,10.2,12.6,68,0,456526.5826
2012-2-3,10.3,7.1,8.6,76,1.7,482014.8668
2012-2-4,15,8.2,10.7,75,0,476324.1351
2012-2-5,18.9,12.1,14.8,79,0.1,429846.7752
2012-2-6,25.6,14.9,18.5,81,0,464888.7667
2012-2-7,20.5,9.6,12.6,69,11,515061.7625
2012-2-8,11.1,6.8,9,59,0.2,538299.5872
2012-2-9,12.4,5,7.9,61,0.1,545467.2671
2012-2-10,10.8,6.3,9,79,0.1,559435.8398
2012-2-11,9.8,5.2,7,72,0,545443.2395
2012-2-12,13.1,6.6,9.2,79,0,479908.0498
2012-2-13,26.6,10.2,16.6,71,0,544931.2765
2012-2-14,25.2,17,20.2,78,0,568043.4632
2012-2-15,27.5,19.5,22.1,80,0.1,577969.1243
2012-2-16,21.1,10.4,13.9,64,0,578373.0254
2012-2-17,14.6,8.9,10.5,57,0,583104.9183
2012-2-18,15.9,8,10.6,52,0,564016.0351
2012-2-19,16.3,8.1,11.5,47,0,494408.8073
2012-2-20,18.6,8.7,13.8,59,0,569015.8572
2012-2-21,24,14.8,18.2,66,0,593434.7433
2012-2-22,21.8,17.4,19.3,89,11.8,599951.7864
2012-2-23,26.4,19.7,22.1,86,0,602974.3296
2012-2-24,24.2,15.3,20.8,88,7,605699.0892
2012-2-25,15.6,9.6,12.7,83,12.9,580120.6501
2012-2-26,9.8,6.9,8.2,75,2.4,505325.3207
2012-2-27,7,5.3,6,82,1.4,586919.8529
2012-2-28,12.8,5.2,8.2,81,32.1,607814.6433
2012-2-29,13.1,9.2,11,86,7,598766.4189
2012-3-1,17.4,12.1,13.9,87,0,587180.8814
2012-3-2,26.1,15.1,19.1,79,0,605129.86
2012-3-3,19.7,13.1,15.8,79,0,587030.0964
2012-3-4,22,15.3,17.7,87,1.4,507314.3327
2012-3-5,23.2,18.6,20.4,88,0.1,593432.8027
2012-3-6,21.9,18.7,20,90,1.4,630838.6558
2012-3-7,22,12.8,16.5,91,31,629351.1981
2012-3-8,13.1,11.1,11.9,91,18.5,615536.4408
2012-3-9,11.2,9.2,10.3,79,1.7,619568.4566
2012-3-10,12.1,7.4,9.6,70,0.7,594479.5325
2012-3-11,11,8.2,9.3,82,8.1,524287.2003
2012-3-12,12.5,9.1,10.7,85,4.6,600805.6548
2012-3-13,13,10.7,11.5,87,2,626518.3098
2012-3-14,17.3,11.3,13.6,85,0.5,626076.4757
2012-3-15,23.6,14.4,17.5,84,0.8,618822.1644
2012-3-16,25.8,17.7,20.3,85,0,625578.7824
2012-3-17,28.4,19.4,22.8,80,0,611286.7326
2012-3-18,30,20,24.3,75,0,536615.4361
2012-3-19,27.4,19.8,23.3,78,0,613053.5055
2012-3-20,25.6,19,21.9,74,0,634181.1179
2012-3-21,54.9,19,21.3,79,0,631828.9011
2012-3-22,27.6,18.6,22.3,68,0,633154.6849
2012-3-23,24.4,12.1,19.1,74,0.4,631196.1672
2012-3-24,20.9,11.3,15,46,0.2,595362.1062
2012-3-25,24.3,10.4,16.9,48,0,520627.7392
2012-3-26,25.8,9.9,17.1,53,0,593833.6585
2012-3-27,54.9,10.9,18.3,48,0,622808.9177
2012-3-28,28.1,13.8,20.2,53,0,628707.0744
2012-3-29,27.5,17.3,21.8,57,0,630800.1211
2012-3-30,25.5,18.3,22,69,0,628385.3288
2012-3-31,23.2,18.3,21,61,5.9,585920.6878
2012-4-1,26,17.1,21.1,60,0,531687.4456
2012-4-2,26,18.8,21.7,70,0,589470.3534
2012-4-3,28.2,21.4,24.3,77,0,577405.2394
2012-4-4,27,21.6,23.8,70,0,376579.8366
2012-4-5,22.9,19.8,21.1,88,30.7,546206.9514
2012-4-6,20.5,19.1,19.9,96,26.2,615666.8075
2012-4-7,21.7,17.3,19.2,88,2.4,601560.7572
2012-4-8,20.1,17.2,19,90,8.7,534777.5843
2012-4-9,26.7,17.9,21.1,90,10.7,605692.9403
2012-4-10,29.1,21.2,24.3,81,0,642960.9532
2012-4-11,30.5,22,24.8,81,0,658615.8571
2012-4-12,28.8,22,25.2,81,0,671566.4029
2012-4-13,28.7,21.3,24.6,87,71.4,674561.5725
2012-4-14,29.4,21.9,25,89,1.1,651922.0768
2012-4-15,28.7,24.7,26.1,84,0,568243.0498
2012-4-16,29,22.9,25.3,90,4.7,658683.4087
2012-4-17,23.2,20.5,22.3,91,17.5,652691.152
2012-4-18,23.1,20.6,21.3,90,3.4,645452.2465
2012-4-19,22.6,20.7,21.7,96,36.3,645282.16
2012-4-20,21.9,20.7,21.2,97,40.2,639826.7247
2012-4-21,28.5,19.9,23.1,81,0,623527.0877
2012-4-22,30.5,21,24.7,69,0,554364.4491
2012-4-23,27.9,22.6,24.5,79,1.7,639950.3883
2012-4-24,28.4,22.7,26.1,85,3.7,683751.198
2012-4-25,29.3,23.5,26.9,87,10.2,702421.7076
2012-4-26,28,20.8,24.1,75,4.1,677476.2443
2012-4-27,25.6,20.3,22.7,86,49.3,661913.8068
2012-4-28,27.2,20.5,23.1,90,19.9,640627.7629
2012-4-29,29.8,22.2,26.1,87,16.6,594271.3286
2012-4-30,30.8,26.5,27.9,84,0,519058.8737
2012-5-1,31,26.8,28.5,83,0,375455.6298
2012-5-2,32.3,26.8,28.9,82,0,617809.3421
2012-5-3,30.1,23.7,26.9,89,76.6,712075.59
2012-5-4,32.5,24.1,27.2,86,4.9,729746.6362
2012-5-5,28.3,23.1,25.6,90,83.5,683837.7388
2012-5-6,30.7,23.6,25.8,85,0.7,599372.8041
2012-5-7,30.5,23.7,26.5,81,0,694160.0253
2012-5-8,31.5,24.9,27.9,80,0,749042.3089
2012-5-9,34,25.5,29.2,77,0,780198.8921
2012-5-10,33.6,23.8,29,78,19.4,786797.5275
2012-5-11,29.2,24.8,26.1,89,13.1,756029.8029
2012-5-12,30.6,23.7,26.6,80,0,712956.4548
2012-5-13,29.6,24.7,26.5,86,24.8,613991.4693
2012-5-14,32.1,24.2,27.6,81,0,730249.6746
2012-5-15,32.5,25.5,28.1,82,4.4,763878.4315
2012-5-16,31.2,23.7,26.4,88,39.7,751334.7924
2012-5-17,29.5,25.1,26.8,87,0.2,754220.6246
2012-5-18,27.4,24.7,25.7,92,3.6,734915.1074
2012-5-19,31,23.5,25.8,89,8,699906.9319
2012-5-20,32.5,24.8,27.3,86,4,618710.037
2012-5-21,28.6,24.4,26.3,79,2.2,697491.6824
2012-5-22,29.1,23.1,26.1,65,0,715239.8697
2012-5-23,31,23,26.6,64,0,728518.7869
2012-5-24,31.5,23.7,27.4,63,0,747066.1836
2012-5-25,32,25.1,27.9,75,0,764186.9547
2012-5-26,29,26,27,82,0.5,724424.9651
2012-5-27,31.3,25,26.8,85,17.9,620664.6072
2012-5-28,26.8,25.1,25.8,94,1.5,699706.1216
2012-5-29,29.2,24.5,26.5,78,0.1,716731.3562
2012-5-30,31,24.5,27.1,78,16.8,732453.1265
2012-5-31,28.8,24.1,25.8,86,13.7,704377.0076
2012-6-1,30,23.5,26.2,74,0,692227.8633
2012-6-2,30.6,24.5,26.7,78,0.1,680873.3556
2012-6-3,28.3,24.6,26.2,80,0,579167.4892
2012-6-4,31,24.7,27.2,78,0,701671.856
2012-6-5,32.2,25,28.2,74,0,752634.8699
2012-6-6,32.9,25.5,28.8,72,0,774687.1494
2012-6-7,33.4,25.8,29.1,73,0,790914.6474
2012-6-8,33,26.3,29,76,0,797247.6481
2012-6-9,33.1,26.6,29.3,81,0,773915.388
2012-6-10,32,26.6,28.9,82,23,665959.3983
2012-6-11,31.3,26.6,28.8,83,11.2,766530.4764
2012-6-12,31.7,25.5,27.9,86,9.8,775751.392
2012-6-13,30.4,24.9,26.6,89,0.3,756857.5177
2012-6-14,32.2,24.2,27.4,79,0,759339.7095
2012-6-15,32.6,24.2,27.9,80,26.3,771666.6851
2012-6-16,29.2,24.8,26.8,87,2.2,728392.998
2012-6-17,30.4,24.5,26.6,88,8.5,615091.3136
2012-6-18,31.6,25,27.9,80,1.8,732166.2522
2012-6-19,33,26.2,29.1,73,0,781340.4819
2012-6-20,35.1,26.8,30.1,70,0.1,807380.8253
2012-6-21,30,24.5,27.2,88,64.9,788453.0654
2012-6-22,29.2,25,26.3,93,34.8,707558.2674
2012-6-23,29.1,25.8,27.2,89,8.2,436067.1441
2012-6-24,29,24.6,26.7,91,48.5,497848.1906
2012-6-25,30.1,26.3,28,84,2.9,691213.4521
2012-6-26,30.2,27.3,28.2,84,0.6,748550.1975
2012-6-27,31.8,27,29.1,75,0,770939.5878
2012-6-28,33.9,25.9,28.8,76,0,785454.5211
2012-6-29,35,25.9,29.7,74,0.1,783152.9341
2012-6-30,30.8,24.8,26.9,84,21.6,693498.907
2012-7-1,31.6,24.6,27.6,80,0.3,586846.6836
2012-7-2,32.2,26,28.7,74,0,736154.8462
2012-7-3,32,25,28.5,75,0,785507.9978
2012-7-4,33.4,25.2,28.5,77,8.6,804510.1558
2012-7-5,30.8,25.6,27.7,84,2.6,797650.4724
2012-7-6,31.4,25.9,27.8,84,0.5,785821.3207
2012-7-7,30.9,25.5,27.8,83,0.1,744947.6749
2012-7-8,30.9,25.5,27.8,82,6.7,638566.902
2012-7-9,32.9,25.8,29,76,0,767266.1643
2012-7-10,32.5,26.2,29.2,76,0,814759.1483
2012-7-11,33.1,26.8,29.5,76,0,828314.4356
2012-7-12,32.7,26.5,29.5,74,0,827724.9713
2012-7-13,31.9,26.6,28.6,81,8.1,828713.5825
2012-7-14,33.4,26.5,29.4,78,0,789588.6667
2012-7-15,33.2,27.5,30,77,0,686199.3994
2012-7-16,32.2,27.2,29.7,80,0,810083.3701
2012-7-17,32.6,27.9,29.7,77,0,837755.1378
2012-7-18,32.5,25.2,29.1,81,2.6,831382.7837
2012-7-19,34.6,25.8,30,76,1.3,842507.4108
2012-7-20,34.4,27.5,29.9,77,0,847606.0027
2012-7-21,36.4,27.8,31.6,67,0,813388.763
2012-7-22,33.8,25.4,28.7,81,18,684457.5864
2012-7-23,29.5,26.1,27.7,78,0.5,754218.564
2012-7-24,27.7,24.6,25.8,93,67.6,727201.9265
2012-7-25,27.5,23.7,25.2,96,57.2,717388.405
2012-7-26,25.7,23.6,24.5,98,3.9,701581.7324
2012-7-27,27.4,24.1,25.2,94,5.3,698813.5418
2012-7-28,30.9,24.7,26.5,90,0.3,679394.8162
2012-7-29,33,25.1,28.3,81,0,603641.1699
2012-7-30,34.3,25.5,29.3,75,0,751344.0414
2012-7-31,35.8,26.2,30.3,72,0,789516.7445
2012-8-1,36,23.1,30.3,71,26.5,794412.6921
2012-8-2,35.6,27.8,31.9,61,0,841718.7238
2012-8-3,33.9,28,30.9,63,0,849802.5783
2012-8-4,31.3,27.8,29.5,75,0,793555.8676
2012-8-5,31,26.2,28.5,82,1.8,651054.2872
2012-8-6,30.8,24.7,26.9,87,12.3,755749.9234
2012-8-7,34.5,25.8,29.4,79,0.1,818471.6815
2012-8-8,35.1,27.3,31,67,0,842567.9585
2012-8-9,34.2,26.7,29.8,75,0.2,847045.0734
2012-8-10,33.2,26.8,29.6,79,0,835794.5076
2012-8-11,32.9,25.8,28.6,82,0.7,773195.0642
2012-8-12,31,24.7,27.6,86,3,642359.2756
2012-8-13,30.3,24.3,26.4,94,40.7,739695.5794
2012-8-14,32.9,25.3,28.1,86,0.3,780334.1593
2012-8-15,34.9,25.8,30,75,0,810027.8067
2012-8-16,33.6,26.6,29.6,77,0.7,813043.372
2012-8-17,31.3,25.4,27.7,82,5.1,786128.0034
2012-8-18,30.7,26.6,27.7,87,0,736482.6136
2012-8-19,34,25.8,28.9,82,0,637141.0195
2012-8-20,33.9,26.5,29.4,78,0,770485.1035
2012-8-21,33.6,26.2,29.4,76,0,806598.3972
2012-8-22,31.1,24.2,26.1,92,10.5,771039.0918
2012-8-23,33.4,24.8,28.2,79,0.4,774475.9305
2012-8-24,32.7,26.1,29.2,69,0,791369.3584
2012-8-25,32.8,25.9,29,65,0,752750.8327
2012-8-26,32.5,27.2,30,62,0,656026.082
2012-8-27,35,26.2,30.7,57,0,780415.9237
2012-8-28,35.8,27.8,31.4,60,0,834218.9111
2012-8-29,33.4,27,29.5,79,3.2,835141.4663
2012-8-30,33.3,24.5,28.9,84,49,821668.9776
2012-8-31,32.2,25.9,28.5,83,5,789717.1692
2012-9-1,32.1,25.5,27.8,80,1.7,715373.6301
2012-9-2,33.2,26,28.8,72,0,618386.4681
2012-9-3,32.3,25.8,28.2,76,0,752003.7371
2012-9-4,32.4,25,28,79,8.2,780995.2323
2012-9-5,32.2,24.8,27.4,82,1.1,774408.3524
2012-9-6,32.4,25.9,28.5,75,0.9,792935.0794
2012-9-7,30.5,26.8,28.2,83,0.1,794736.649
2012-9-8,33.5,25.5,28.8,79,0,762074.4402
2012-9-9,33.3,26.5,28.9,81,0.4,671250.1477
2012-9-10,33.8,26.2,29.1,78,0,779399.274
2012-9-11,33.7,26.4,29.8,72,0,814800.3299
2012-9-12,32.4,25.5,28,80,17.3,808613.1795
2012-9-13,33.4,25.4,28.1,79,0,799840.0657
2012-9-14,28.3,23.3,25.1,64,8,718681.4499
2012-9-15,29,22.1,25,60,0,666667.0062
2012-9-16,29.9,21.3,25.8,57,0,569338.3813
2012-9-17,29.6,22.3,26.1,44,0,670198.3451
2012-9-18,30,23.9,26.7,48,0,711657.6482
2012-9-19,29.9,25,27,60,0,728158.0498
2012-9-20,30.1,24.2,26.7,71,0,734226.4456
2012-9-21,32.2,25,28.1,68,0,756557.4338
2012-9-22,33.6,25.8,28.7,70,0,750699.2421
2012-9-23,32.6,26,28.7,78,0,678998.9958
2012-9-24,33,24.5,27.6,87,74.2,761220.4078
2012-9-25,27.4,24.2,25.4,92,5.9,739321.329
2012-9-26,30,24.4,26.6,82,0,740696.5637
2012-9-27,31.6,24.4,27.7,63,0,740450.022
2012-9-28,30.4,24.9,27.6,52,0,706958.2116
2012-9-29,29.9,23.7,26.8,53,0,599861.9101
2012-9-30,28.8,21.8,25.5,46,0,328270.712
2012-10-1,28.8,22.2,25.1,49,0,277691.8841
2012-10-2,29.7,21.9,25.5,62,0,320709.8111
2012-10-3,30.6,21.9,25.5,69,0,389066.8769
2012-10-4,29.9,22.5,25.8,70,0,528679.7922
2012-10-5,30.3,22.7,26,68,0,619450.0253
2012-10-6,30.1,22.8,26.4,67,0,645970.9679
2012-10-7,30.2,24.1,26.8,64,0,604604.1223
2012-10-8,30.5,24,27.2,63,0,698341.2155
2012-10-9,30.8,22.9,26.9,64,0,723709.6733
2012-10-10,29.4,23.6,26.7,49,0,710527.3546
2012-10-11,29,21.6,25.5,48,0,700166.4036
2012-10-12,29.7,21.6,25.4,59,0,702771.7431
2012-10-13,29.7,21.6,25.2,71,0,676768.662
2012-10-14,30.6,22.6,26,74,0,580960.9169
2012-10-15,30.2,23.5,26.3,76,0,690905.3316
2012-10-16,30.4,23.6,26.3,73,0,716648.7661
2012-10-17,28.1,23.8,25.6,71,0,709090.9337
2012-10-18,25.7,20.5,23.2,47,0,669958.1874
2012-10-19,29.4,20.9,24.7,66,0,683409.8247
2012-10-20,29.8,20.9,24.9,67,0,659269.1004
2012-10-21,30.1,21.6,25,65,0,560042.9963
2012-10-22,30.4,20.9,25.2,66,0,667003.7916
2012-10-23,30.5,22.4,26,70,0,703035.8572
2012-10-24,30,22.4,25.8,67,0,705203.7514
2012-10-25,30.2,22.4,25.6,72,0,710691.2731
2012-10-26,27.3,21.8,24.6,74,3.6,696331.8153
2012-10-27,27.8,22,24.5,80,0.9,659510.9043
2012-10-28,30.8,22.7,26,68,0,564491.1581
2012-10-29,27.9,24.1,25.7,73,0,663734.4213
2012-10-30,26.1,20.7,23,93,14.9,666308.9466
2012-10-31,24,16.8,20,69,9.2,614786.4643
2012-11-1,23.3,15.5,19.6,53,0,603943.3953
2012-11-2,25.7,16,20.6,63,0,628311.0502
2012-11-3,28.4,19.6,22.7,69,0,612117.4798
2012-11-4,26,20.6,23.2,64,0,509306.8913
2012-11-5,25,18.9,22,56,0.2,614536.8125
2012-11-6,26.7,19.5,23,50,0,651710.0996
2012-11-7,25.8,20.1,22.9,66,0,660046.2762
2012-11-8,26.8,20.8,23.4,73,0,667831.6815
2012-11-9,29.1,22.3,25.1,78,0,681092.6817
2012-11-10,30.1,22.4,25.8,78,0,658843.8987
2012-11-11,25.6,17.1,19.8,80,26.8,517119.9977
2012-11-12,20.6,17,18.5,68,0,607638.8972
2012-11-13,26.5,17.7,21.7,71,0,646797.49
2012-11-14,26.7,20.3,22.7,80,0,654121.6138
2012-11-15,27.3,19.9,23.2,69,0,654400.2606
2012-11-16,25.5,21.8,23.5,74,0.2,653220.5686
2012-11-17,24.2,16.5,19.3,78,10.5,602957.4494
2012-11-18,19.9,17.1,18.4,68,0,498220.9239
2012-11-19,25.7,17.7,21.2,72,0,607023.8018
2012-11-20,22.4,19.3,20.8,80,0.7,637985.4648
2012-11-21,24.1,19.9,21.8,87,0.2,646958.1236
2012-11-22,28.5,21.8,24.6,87,0.1,665371.1857
2012-11-23,25.7,18.9,22.2,80,16.5,647118.3203
2012-11-24,18.9,13.5,15.3,89,19.8,600883.1935
2012-11-25,21.3,16,18.6,94,0.4,505054.2599
2012-11-26,20.8,13.6,17.7,97,5.9,601576.9196
2012-11-27,13,10.8,11.9,96,22.2,625982.4546
2012-11-28,15.7,12.8,14.4,96,1.4,629830.5673
2012-11-29,19.4,15.7,17,95,34.8,627428.1013
2012-11-30,18.4,16.8,17.6,99,19.4,613350.4966
2012-12-1,18.6,16.3,17.1,97,0.3,567020.1544
2012-12-2,18,13.8,15.7,92,10,475276.5078
2012-12-3,16.1,12.8,14,94,3,587898.8354
2012-12-4,15.1,11.9,13.2,85,3,628891.8088
2012-12-5,15.3,13.2,14,88,9.6,632605.0524
2012-12-6,17.6,11.3,14.7,65,0.1,632195.1894
2012-12-7,21.9,14.5,17.8,65,0,626087.6414
2012-12-8,21.7,16.7,19,65,0,598736.137
2012-12-9,22,14.8,18.4,63,0,498713.7732
2012-12-10,21.6,15.7,18.1,71,0,594376.3714
2012-12-11,18.9,14.9,16.6,74,0,625124.7724
2012-12-12,17.7,12.6,14.7,71,0,626366.6658
2012-12-13,22.8,14.9,17.6,71,0,625820.9645
2012-12-14,26.2,16.4,20.5,77,0,630718.6516
2012-12-15,27.2,18.8,22.1,83,0,607668.4917
2012-12-16,28.2,20.2,23.1,83,0,509802.7243
2012-12-17,24.2,20.6,21.7,87,2.9,606084.9818
2012-12-18,21,12.7,16.2,82,3.8,632241.6889
2012-12-19,13.8,9.5,11.6,70,0,629427.6444
2012-12-20,20.3,13.2,15.9,80,0,633192.1856
2012-12-21,24.5,17.8,20.1,85,0,627723.4825
2012-12-22,17.8,12,14.5,80,0,606552.6079
2012-12-23,14,9.1,11.2,56,0,523481.0783
2012-12-24,14.9,5.8,9.7,59,0,608322.8222
2012-12-25,18.5,9.5,13.6,66,0,624656.041
2012-12-26,20.3,15.1,17.4,65,0,627438.0502
2012-12-27,18.1,14,15.2,85,0.7,628788.6214
2012-12-28,22.6,14.3,17.6,77,0,617506.9879
2012-12-29,22.3,10.2,18.3,80,0.4,589388.6755
2012-12-30,11.9,6.8,8.8,61,3,525648.092
2012-12-31,12.5,4.1,8.3,28,0,449472.2081
2013-1-1,13.2,8.3,10.7,46,0,306132.3203
2013-1-2,19.1,11.9,14.5,49,0,489368.5994
